Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
41590,,,,,,,,7.872,,,,
41581,,,,,,,,,,1395.673,,
41371,,,,,,259.29,,,,,,
41425,,,,,,,,,,773.7,,
41399,,,,,,,40.54,,,,,
41638,39.128,,,,,,,,,,,
41280,,,,,,,,,,,,4374.88
41495,,,,,,,,,,,193.936,
41431,,,,,,,,,,63.381,,
41567,,426.942,,,,,,,,,,
41515,,,,,,,709.0425,,,,,
41775,,,,,,255.968,,,,,,
41735,,,,,,,,,,47.952,,
41799,,,,,,,,,,175.32,,
41904,,,,,,,,,,,,763.508
41875,,,,,,,,,,3747.93,,
41897,,,,,,,,,,1918.79,,
41747,106.5,,,,,,,,,,,
41964,18.176,,,,,,,,,,,
41673,,,,,,,,,,74.52,,
41844,,,,,,,,,,,,525.95
41818,,,,,,,,,,,,260.31
41724,,,,,,,,,,,74.352,
42000,,,,,,,,,,,284.44,
41676,,176.63,,,,,,,,,,
41802,,,,,,,,,,55.984,,
41643,,,,,,,,,,,192.22,
41803,,,,,,,,,,,976.29,
41950,,,,,,,,,,,1361.631,
41813,,,,,,,,,,,268.4,
41750,,,,,,,,,,893.09,,
41944,,,,,,,,,,301.96,,
41951,,,,,,,,,,,81.135,
41951,,,,,,,750.93,,,,,
42004,,,,,,,,596.48,,,,
41784,,,,,,,,467.04,,,,
41977,,,,,,,,,,8.226,,
41707,,,,,,,4.608,,,,,
41799,,,,,,,,,,,,113.1
41956,,,,,,,,,,115.296,,
41822,,,,,,,,,,27.504,,
41994,,,,,,,,,,78.192,,
41955,,,,,,,,,,,792.508,
41925,,,,,,,,,,371.66,,
41956,,,,,,,,,,84.96,,
41917,,,,,,,,,,,,75.04
41901,,,,,,,,,61.96,,,
41816,,,,,,,,,,535.36,,
41667,,,,,,,4297.644,,,,,
41825,,,,,,,,12.158,,,,
41996,194.32,,,,,,,,,,,
41720,,,,598.352,,,,,,,,
41948,,,,,,,,,,387.136,,
41895,,,,,,,,,,199.86,,
41648,,,,,,,,,,364.07,,
41987,,,,,,,,3.76,,,,
41862,,,,,,,,,,46.152,,
41864,,,,,,,,,,5.64,,
41719,,,,,,,,,,1270.379,,
41907,,,,,,,,,,,22.549,
41720,,,,,,,,,,,19.56,
41801,,3165.744,,,,,,,,,,
41872,,,,,,,,,,,53.28,
41755,,,,,,,,,,194.1395,,
41976,,,,,,,,,,288.85,,
41811,,,,,,,,,,107.976,,
41987,,,,,,,,,,,62.46,
41740,,,,,,,,,,121.888,,
41914,,,,,,,,,,,,7.38
41909,,,,,,,,,,2026.78,,
41896,,,,,,,269.49,,,,,
41710,,,,,,,,,,,45.976,
41823,,,,,,,,,,365.91,,
41663,,,,,,,,,,,,13.12
41921,,,,,,,,,,30.84,,
41721,59.48,,,,,,,,,,,
41948,,,,,,,,,,,207,
41942,182.91,,,,,,,,,,,
41808,,,,,,,,,,1046.47,,
41864,,64.68,,,,,,,,,,
41888,,,,,,,,,3.444,,,
41714,,,,,,,498.93,,,,,
41922,,,,,,,,,,1801.632,,
42000,,,,,,,,,,105.42,,
41980,,,,,,,,,,436.86,,
41904,,,,,,,,,80.38,,,
41887,,,,,,,,,,,,67.96
41956,,,,,,,,,,233.064,,
41790,,,,10.272,,,,,,,,
41729,,,,,,,,,,,79.96,
41803,,,,,,,,,,,6.48,
41745,2298.9,,,,,,,,,,,
41895,,,,,,,,,,13.092,,
41945,197.72,,,,,,,,,,,
41822,,246.364,,,,,,,,,,
41973,,,,,,,,,89.36,,,
41899,,,,,,,,,,87.168,,
41973,440.144,,,,,,,,,,,
41902,,,,,,,,,,1664.132,,
41993,,,,,,,,,,,,11.696
41900,,,,,,,,717.12,,,,
41886,,,,,,,,,,919.49,,
41906,,,,,,,,,,517.5,,
41717,,,,,,,,,,14.496,,
41998,,,,,,,,,,19.584,,
41958,,,,,,,,,,,,39.96
41714,,,,,,,,,,6412.77,,
41808,,,,,,,,,,,13.632,
41901,,,,,,,,,,,66.36,
41677,,,,,,,,,,,324.11,
41766,,,,,,,,,,45.68,,
41710,,,,,,,,,,5.04,,
41965,32.985,,,,,,,,,,,
41749,,,,,,,,,,,896.31,
41885,,,,,,,,,,,200.984,
41988,,,,,,,,,,,246.168,
41984,196.62,,,,,,,,,,,
41727,,,,,,,5.56,,,,,
41656,,,,,,,,,,88.96,,
41890,,,,,,,,,,,21.36,
41991,,,,,,,,,,,94.688,
41699,,,,,,,58.72,,,,,
41779,,,,,,,,,,169.544,,
41727,,,,,,,,,1166.92,,,
41829,,,,,,,,,,5.16,,
41979,,,,,,,173.94,,,,,
41845,,,,,,,,,,,457.04,
41957,,860.07,,,,,,,,,,
41782,,,,,,,,,,,186.69,
41935,,,,78.456,,,,,,,,
41860,,,,,,,,,,,4.608,
41977,,,,,,,1635.018,,,,,
41768,,,,,,,,,,48.81,,
41973,,,,,,,,,,177.48,,
41808,,670.001,,,,,,,,,,
41993,,,,,,,,,,36.27,,
41973,,17.088,,,,,,,,,,
41903,,,,,,,,,,3631.96,,
41970,,,,,,,,,,,,6.24
41888,,,,,,,,,,,7.24,
41889,,,,,,,,140.736,,,,
41760,,,,,,,,,,,277.632,
41798,,,,,,,,,,,937.608,
41940,,,,,,,,,,104.51,,
41921,,,,,,,,,,50.462,,
41858,,,,,,,,520.03,,,,
41789,,,,,,,,,,,,151.96
41963,,,,,,,,,,377.902,,
41851,,,,,,,,,,,239.7,
41994,47.976,,,,,,,,,,,
41874,,,,,,,,,,1142.43,,
41774,,,,,,,,17.94,,,,
41969,,,,,,,,,,,692.472,
41898,,,,,,,,,,31.12,,
41916,,,,,,,,392.94,,,,
41965,,,,,,,,,,58.05,,
41888,,,,,,,,,,,46.62,
41652,,,,,,,,9.82,,,,
41934,,,,,,,9.952,,,,,
41690,,,,,,,,,,29.99,,
42354,,,,,,,,,,,,19.44
42200,,,,29,,,,,,,,
42188,,,,,,,,,,7.7,,
42126,,,,,,,140.52,,,,,
42348,1056.86,,,,,,,,,,,
42259,,,,,,,,,,1611.01,,
42210,73.2,,,,,,,,,,,
42211,,,,,,,,,,2503.47,,
42336,,,,,,,,,,447.783,,
42145,,,,1363.96,,,,,,,,
42130,,,,,,,,,,,,270.728
42298,,,,,,,,,,,,61.1
42021,,,,,,,,,,,316,
42042,,,,107.83,,,,,,,,
42250,,,,,,,,,,1854.241,,
42051,,,,,,,,,,323.88,,
42145,,,,,,,,,,2.694,,
42277,,,,,,,,,,298.83,,
42043,,,,,,,,,1127.976,,,
42028,,,,,,,,31.36,,,,
42344,,,,,,,1284.8,,,,,
42270,,,,,,,,,,,104.712,
42137,,,,,,,,,,,10.96,
42221,,,,,,,,,,,,158.81
42047,1366.04,,,,,,,,,,,
42266,,,,,,,,,,3,,
42366,,,,,,,,,,2.61,,
42107,,,,,,,,,,448.81,,
42258,,,,,,,,,,,519.68,
42130,,14.352,,,,,,,,,,
42357,,,,,,,,1410.066,,,,
42151,,,,,,,,232.624,,,,
42082,,,,,,,871.8,,,,,
42347,,,,,,,,,,334.256,,
42153,,,,,,,,,,185.88,,
42155,,,,,,,,,,,4317.3,
42329,,,,,,,,,,,574.056,
42193,,,,,,,,,,,45.584,
42076,,,,,,,,,,,12.96,
42270,,,,,,,,,,24.066,,
42244,,,,,,,,,,,9.216,
42279,,,,,,,36.364,,,,,
42252,,,,,,,,,,239.5,,
42229,,,,,,,,,,,562.2925,
42083,,,,,,,,,,,31.086,
42038,,,,,,,,,,866.4,,
42232,,,,,,,,,,705.544,,
42226,,,,,,,,,,,,16.218
42091,,,,,,,,,,,92.7,
42231,15.552,,,,,,,,,,,
42160,75.88,,,,,,,,,,,
42305,,,,,,,290.98,,,,,
42302,,,,,,,,,,,,239.976
42322,,,,,,,,,,52.136,,
42068,,,,,,,,10.08,,,,
42275,,,,,,,31.83,,,,,
42238,,,,,,,,,,,,37.264
42333,,,,,,,,,,,,392.832
42337,,,,,,,,,,,7.434,
42260,,,,,,,,,,,1159.06,
42107,,,,,,,,,,,191.808,
42344,191.82,,,,,,,,,,,
42041,,,,,,,,,,,132.224,
42230,125.92,,,,,,,,,,,
42168,,224.9,,,,,,,,,,
42340,,,,863.928,,,,,,,,
42096,,,,,,,,,7.04,,,
42118,,,,,,,,,,,36.24,
42355,34.944,,,,,,,,,,,
42324,,,,,630.024,,,,,,,
42323,,,,,,,513.52,,,,,
42252,,,,,,,,,,291.74,,
42320,,,,,,,,,,,,681.432
42334,,,,,,,,,,73.36,,
42254,,,,,,,,,,99.156,,
42018,,,,,,,,,,405.344,,
42335,,3236.41,,,,,,,,,,
42170,58.4,,,,,,,,,,,
42265,,,,,,,,,,396,,
42009,,,,,,,,255.904,,,,
42268,,,,,,,,,,,115.48,
42103,,,,,,,,,,,,215.84
42286,,,,,,,,,,387.72,,
42149,,,,,,261.1,,,,,,
42253,,,,,,,228.586,,,,,
42299,,,,,,,,,,,,74.32
42340,,,,,,,,,,4.704,,
42362,,,,,,,859.14,,,,,
42319,,,,,,,,,,41.86,,
42153,,,,,,,,,,,452.464,
42150,,,,,,,,,,,,1311.97
42113,,,,,,,,,,233.48,,
42368,,,,,,,,,,,40.896,
42185,,,,,,,191.88,,,,,
42079,,,,,,,,,,,,365.44
42306,,,,,,,,,,38.19,,
42266,,,,,,,,,,,383.438,
42172,,,,,,,,,91.475,,,
42140,,,,,,,7.764,,,,,
42293,,,,,,,,,,,342.76,
42267,,,,,,,,,,254.99,,
42207,,,,,,,,,,370.184,,
42313,,,,10.74,,,,,,,,
42340,,,,,,,,2145.25,,,,
42306,,,,314.393,,,,,,,,
42130,79.14,,,,,,,,,,,
42155,3.282,,,,,,,,,,,
42282,,,,,,,,,,,64.248,
42266,,,,,,,,,,1264.14,,
42353,,,,,,,,,,133.38,,
42049,,,,,,,,,,264.18,,
42075,,,,,,,,,,,,558.24
42165,695.7,,,,,,,,,,,
42364,,,,,,,,,,870.04,,
42112,,,,,,,,,55.416,,,
42211,,,10.44,,,,,,,,,
42252,,,,,,,131.104,,,,,
42271,,,,,,,487.22,,,,,
42103,,,,,,,,,,17.92,,
42359,,,,,,,,,,,,34.34
42317,,,,,,,993.9,,,,,
42187,,,,85.5,,,,,,,,
42194,,,,839.944,,,,,,,,
42303,,783.96,,,,,,,,,,
42127,,,,,,,,,,187.056,,
42148,,,,,,,,,,,,4.98
42232,,,,,,,225.296,,,,,
42256,,,,,,,,,,99.872,,
42262,,,,,,,,,,,,25.92
42230,,,,,,,21.504,,,,,
42292,,,,,,,,,,305.248,,
42154,,,,,,,,,,60.485,,
42202,,,,,,,,199.18,,,,
42144,,,,,,,,,,641.96,,
42314,1120.73,,,,,,,,,,,
42328,18.48,,,,,,,,,,,
42200,,,,,,,,,,88.15,,
42204,,,,,,,,,,,140.81,
42037,,,,,,,8805.04,,,,,
42099,,,177.78,,,,,,,,,
42310,,,,,,,,,,,,273.59
42147,,,,14.73,,,,,,,,
42134,,,,,,,27.86,,,,,
42035,,,,,,,,,,,,1396.35
42348,,,,,,,,,,40.68,,
42182,,,,,,,,,,135.95,,
42369,,,,,,,,,,72.224,,
42243,,31.008,,,,,,,,,,
42264,,,121.78,,,,,,,,,
42313,,,,,,,,1106.924,,,,
42186,,,,,,,1302.83,,,,,
42084,,,,,,,,86.45,,,,
42092,,31.4,,,,,,,,,,
42337,,,,,,,,2673.69,,,,
42243,,,,,,,,,,186.54,,
42205,,,,,,,,,,1110.5,,
42258,,,,,,,,,67.56,,,
42215,,,,,,,,,,732.156,,
42109,,,,,,,81.2,,,,,
42126,377.346,,,,,,,,,,,
42209,,,,,,,,,,,324.387,
42334,,,,,,,,,,,,5.08
42313,,,,,,,,,,,50.496,
42111,,,,,,,,,,158.256,,
42155,,,,,,,,,,,138.53,
42055,,,,,,,,,,16.496,,
42359,,,,,,,,,,66.3,,
42154,,,,,,,1002.7,,,,,
42312,,,,,,,903.77,,,,,
42225,,,,,,,,,,,,23.34
42072,,,,,,,,,,1466.32,,
42299,,,,,,,111.672,,,,,
42726,,,,,,,,,,,,141.96
42525,,,,,,,,,,12.48,,
42677,,,,,,,,,,1030.742,,
42691,,,,,,,,,,699.4,,
42693,,,,,,,,,,843.84,,
42607,,,,,,,13.152,,,,,
42609,,,,,,,14.336,,,,,
42580,,,,,,,61.216,,,,,
42491,,,,,,,,,,3740.51,,
42636,,,,,,,212.91,,,,,
42532,,,,,,,,,,,,3.76
42678,,,,,,,,,,248.396,,
42618,,,,,,,,,,177.08,,
42677,,,,,,,,26.4,,,,
42663,,,,59.824,,,,,,,,
42656,1541.51,,,,,,,,,,,
42694,,,,,,,,,,209.568,,
42503,,,,,,,,,,,20.768,
42572,,,,,,,,,,951.98,,
42692,,,,,,,,552.856,,,,
42729,141,,,,,,,,,,,
42594,,,,,,,,,,20.736,,
42531,,,,,,,,,,,1347.52,
42578,,,,,,,194.848,,,,,
42725,,,,,,,23.88,,,,,
42703,,,,,,,,,,491.888,,
42689,,,,,,,,,,559.2,,
42722,12.672,,,,,,,,,,,
42490,,,,,,,,,,,26.056,
42708,,,,,,,,,,649,,
42725,71,,,,,,,,,,,
42491,318.96,,,,,,,,,,,
42491,,,,,,,,,,,,48.9
42670,,,,,,,,,,,68.967,
42693,,,,,,,,,,25.06,,
42624,34.504,,,,,,,,,,,
42372,,740.214,,,,,,,,,,
42664,,,,,,,,,,,,729.648
42456,,,,,,,874.8,,,,,
42729,,,,,,,,,819.28,,,
42475,,,,,,,,,,15.552,,
42607,,,,,,,,,,192.16,,
42470,,,,,,,,16.739,,,,
42685,88.92,,,,,,,,,,,
42627,,1017.136,,,,,,,,,,
42645,,,,,,,,10.16,,,,
42721,,,,,,,,,,504.9,,
42638,,,,,,,,,,177.55,,
42666,,,,,,,,,,863.88,,
42613,,,,,,,,,,659.9,,
42587,,13.76,,,,,,,,,,
42642,,,,,,,,,,243.92,,
42697,,,,,,,,,,105.408,,
42536,,,,,,,,,,,2942.784,
42704,,,,,,,,,,173.8,,
42394,,,,,,,,,,5.67,,
42618,,,,,,,,,,,,147.184
42488,,,,,,,,,,28.08,,
42636,251.64,,,,,,,,,,,
42462,,,771.8,,,,,,,,,
42432,,,,,,,,,,72.8,,
42694,52.696,,,,,,,,,,,
42534,,,,,,,,,,181.86,,
42469,284.19,,,,,,,,,,,
42420,,,,,,,,1245.86,,,,
42476,,503.22,,,,,,,,,,
42598,,,,80.564,,,,,,,,
42407,359.97,,,,,,,,,,,
42578,,,,,,,91.032,,,,,
42634,,,,,,,,,,80.48,,
42516,,234.2,,,,,,,,,,
42728,,,,,,,,,,712.85,,
42490,,,,,,,,,,,,32.088
42699,,,,,,,,,,723.92,,
42554,,9.552,,,,,,,,,,
42624,,,,,,,,,,,,184.66
42520,253.86,,,,,,,,,,,
42551,,,,,,,,,,,19.52,
42582,,,,,,,,,,,,41.424
42677,,,,,,,,,,,12.39,
42404,,,,,,,,,,119.178,,
42524,,,,,,,,,,,35.168,
42475,4.89,,,,,,,,,,,
42536,,,,,,,,,,776.08,,
42384,,,,,,,,,,175.086,,
42732,,,,,,,,,,,,64.784
42624,,,,,,,209.88,,,,,
42509,,,,,,,,,,,26.16,
42698,,,,,,,,406.94,,,,
42595,,,,,,,,,,2382.926,,
42608,,,,,,,,,,,,71.98
42561,,,,,,,18.84,,,,,
42707,,,,,,,47.992,,,,,
42494,,,,,,,,,,629.86,,
42620,,,,,,,,,,,81.568,
42605,,,,,,,4590.344,,,,,
42461,,127.95,,,,,,,,,,
42537,,,,,,,740.59,,,,,
42639,,,,,,,,,,,,419.136
42459,,,,,,,,,,,,59.76
42721,,,,,,,,,,544.38,,
42677,,,,,,,16.272,,,,,
42471,,,,,,,,,,22.744,,
42701,,,,,,,,,,52.344,,
42485,,,109.968,,,,,,,,,
42525,,,,,,117.62,,,,,,
42583,271.96,,,,,,,,,,,
42460,,,,,,,,3098.61,,,,
42609,,,,,,,,,,5.184,,
42504,,,,,,,,,,48.69,,
42532,,,,,,,,,,4.572,,
42637,,,,,,,,,,,,399.53
42461,,,,,,,,269.4,,,,
42396,,,,,,,,22.63,,,,
42499,,272.232,,,,,,,,,,
42711,,,,,,,,,,372.64,,
42537,,,,,,,,,,,14.016,
42488,,,,,,,,,,751.984,,
42384,29.664,,,,,,,,,,,
42509,,,,,,,,,,2361.52,,
42671,,,,,,,273.088,,,,,
42626,,,,,,,,,,15.92,,
42632,,,,,,,,,,,95.616,
42632,,,,,,,,,,,,35.4
42568,,,,,,,,,,7.904,,
42518,,,,,,,301.96,,,,,
42727,,,,,,,,,,303.32,,
42524,,,,,,,,,,1111.698,,
42629,,,,,,,,,18,,,
42526,,,,,,,,,,,20.736,
42704,,,,,,,,,,2165.658,,
42684,,,,,,,,,11.52,,,
42676,,,,,,,,3291.07,,,,
42706,701.96,,,,,,,,,,,
42533,,,,,,,,,,17.088,,
42667,,,,,,,,,,11.68,,
42621,,,220.056,,,,,,,,,
42496,,,,817.829,,,,,,,,
42637,,,,,,,253.824,,,,,
42462,,,,,,,,,,14.94,,
42726,,,,,,,7.824,,,,,
42509,,,,,,,,342.24,,,,
42628,,,,,,,,,,163.96,,
42616,,,,,,,,,,24.448,,
42482,,,,,,,,,,675.06,,
42693,,,,,,,22.96,,,,,
42698,,,,,,,,,,,,1446.84
42615,,,,,,,,,,1577.94,,
42622,,,,,,,,,,458.984,,
42718,,,,,,,,,,,204.55,
42622,,,,,,,,,,,685.26,
42678,,1883.724,,,,,,,,,,
42664,,,,,,,,,,,,17.856
42650,,,,,,,,,,,,1027.21
42533,,,,,,,,,,,,544.14
42547,,,,,,,,,,,287.424,
42714,,,,,,,,,684.78,,,
42400,,,,,,,,,,419.136,,
42655,,,,,,7.968,,,,,,
42646,,,,,,,,,,33.472,,
42726,,,,,,,,,,1090.348,,
42376,,,,,,,,,,,,33.74
42599,,,,,,,,,,,,201.09
42541,4.464,,,,,,,,,,,
42517,,,,,,,,,,,39.252,
42441,,,,,,,,,,40.41,,
42516,,,,,,,,,,23.08,,
42677,,,,,,,,15.992,,,,
42698,,,,,,,,19.008,,,,
42686,,,,,,,,,,26.72,,
42694,,,,,,,,,,,,27.58
42680,,,,,,,,,,,5.78,
42706,,,,,,,,,,,,45.66
42699,,,,,,,48.87,,,,,
42673,,,204.98,,,,,,,,,
42437,,668.54,,,,,,,,,,
42603,,,,,,,866.4,,,,,
42439,,,,,,,,,,,61.876,
42450,,,,,,,,,,,64.384,
42496,54.66,,,,,,,,,,,
42468,,,,,,,,,,,2747.25,
42630,,,,,,,,,830.24,,,
42659,,,,,,,,,,124.75,,
42525,,,,,,,,,,,103.968,
42685,,,,,,,,1158.12,,,,
42723,1665.62,,,,,,,,,,,
42663,,,,,,,,,,199.17,,
42523,,,,25.344,,,,,,,,
42714,19.104,,,,,,,,,,,
42659,,,,,,,,,,,1893.786,
42678,,,,,,,,,,,,4.3
42508,,524.85,,,,,,,,,,
42683,,,,,,,,,,,,691.144
42623,,,,,,,,,,2.78,,
42641,,,,,,,,,,,10.368,
42391,,,,,,,,,,,,383.992
42517,,,,,,,25.92,,,,,
42495,,,,,,,,,,,34.5,
42593,,,,,,,,,477.51,,,
42434,,,,,839.25,,,,,,,
42635,726.91,,,,,,,,,,,
42515,,,,,,,,,,,,29.84
42677,,,,,,,,,,,361.376,
42588,,,,,,,161.14,,,,,
42466,,,,,,,,,,,8.1,
42475,,15.57,,,,,,,,,,
42635,,,,,,,,,,30.9,,
42455,,,,,,,,,,,,57.01
42669,,,,,,,,,,608.43,,
42652,10.816,,,,,,,,,,,
42589,,,,,,,79.992,,,,,
42637,79,,,,,,,,,,,
42729,,,,,,,400.39,,,,,
42691,,,,,,,,,,,286.09,
42631,,,,,,,,,,,997.83,
42706,,,,,,,,,,,47.96,
42700,,,,,,,,,,,12.84,
42687,,,,,,,728.968,,,,,
42691,,,,,,,,,,35.04,,
42706,,,,,,,,,,32.776,,
42467,,,,,,,,,,,,235.44
42692,,,,,,,,,,47.328,,
42680,,,,,,,831.368,,,,,
42484,,,,,,,,,,,113.568,
42715,,,,,,,,,,,873.811,
42676,,,,,,,,,,5.56,,
42561,,,,,,,,,,,41.91,
41375,,,,,,,737.2,,,,,
41354,,,,,,,,,,,16.272,
41433,,,,,,,,,,,170.352,
41583,,,,149.9,,,,,,,,
41526,,,,,,,,,,1299.99,,
41446,,,,,,,425.67,,,,,
41534,,,,,,,,,,52.608,,
41372,,,,,,,,,,,1215.92,
41347,,,,,,,,,,,,1139.92
41448,23.12,,,,,,,,,,,
41527,,,,,,,,,,,,9.64
41505,,,,,,,,,,,344.91,
41294,,,,,,,,,,1859.4,,
41294,,,,,,,,,,,67.194,
41627,,,,,,,,,,252.612,,
41300,,,,,,,,,,,,944.61
41354,,,,,,,,,,310.528,,
41550,,,,,,,,,,,,67.76
41530,,,,,,,,,,,18.648,
41505,,,,,,,,,,638.82,,
41369,,,,,,,,,,,115.36,
41355,,,,,,,,,,59.109,,
41350,,,,,,,,,,,103.5,
41426,,,,,,,,,,904.13,,
41547,,,,,,,,,,15.552,,
41805,11.672,,,,,,,,,,,
41923,,,,,,,,,,979.9455,,
41722,,,,,,,,,,,6.992,
41785,,,,,,,,,352.168,,,
41984,,,,,,,,,,12.828,,
41801,,,,,,,,,,207.82,,
41847,,,,,,,,,,29.97,,
41897,,,,,111.904,,,,,,,
41978,,97.424,,,,,,,,,,
41755,,,,,,,,,,1001.76,,
41734,,,,,,,,,,,157.794,
41998,,,,,,,433.78,,,,,
41833,,,,,,,,38.88,,,,
41698,,,,,,,,,,551.264,,
41974,,,,,,,,,,,125.64,
41837,,,,,,,,231.92,,,,
41888,,,,,,,85.98,,,,,
41825,,,,,,,,,,,16.712,
41968,,,,,,,,,,13.12,,
41983,,,,,,,,,,129.64,,
41970,,,,,,,,,,459.4335,,
42251,,87.28,,,,,,,,,,
42222,,,,,,,,,,,197.05,
42103,354.9,,,,,,,,,,,
42040,,,,,,2075.51,,,,,,
42077,,,,,,,,,,,,334.2
42274,,,,,,,,,,,,431.976
42226,645.136,,,,,,,,,,,
42300,39.92,,,,,,,,,,,
42334,59.98,,,,,,,,,,,
42082,,,,,,,189.882,,,,,
42253,,,,,,,,,,1678,,
42110,,,,,,,,,,,,895.06
42215,2.214,,,,,,,,,,,
42350,,,,,,,,,,6.672,,
42339,,,,36.192,,,,,,,,
42368,,,,,,,,,62.752,,,
42026,,,,,,,,,,530.272,,
42012,,,,,,,,,,187.228,,
42327,,,,,,,,1319.96,,,,
42056,,,,,,,,,,,,471.078
42036,,56.45,,,,,,,,,,
42309,,,,,,,32.064,,,,,
42306,,,,,,,,,,,17.616,
42140,,,,,,,,,,,,612.14
42130,,,,,,,,,,16.72,,
42350,,,,85.224,,,,,,,,
42139,,,,,,,,,,,191.018,
42288,,,,,,,,,,,24.703,
42142,,,,,,,,,,,29.97,
42315,,368.432,,,,,,,,,,
42270,,,,,,,,,,,,13.28
